file,pick,cos1,cos2,cos_margin,noisy_P808,noisy_SIG,noisy_BAK,noisy_OVRL,enh_P808,enh_SIG,enh_BAK,enh_OVRL,dP808,dSIG,dBAK,dOVRL
A1V6P1ZE6Q8YEW_M_Fan_Regular_HS_Desk_Neighbor_fid69.wav,1,0.6495486497879028,0.36099377274513245,0.2885548770427704,3.431213617324829,3.38156055695668,2.567430559644868,2.3009813906944574,3.7415759563446045,3.38502400574893,3.6249236017853947,2.8958300027940216,0.3103623390197754,0.0034634487922500234,1.0574930421405266,0.5948486120995642
A1V6P1ZE6Q8YEW_M_Fan_Regular_HS_Desk_Neighbor_fid71.wav,1,0.6856955289840698,0.20251931250095367,0.48317623138427734,3.2002451419830322,3.0684815565712964,2.25977404296652,2.102372882515314,3.8142025470733643,3.1279838300401477,3.745879390054329,2.7111529686334506,0.613957405090332,0.059502273468851286,1.486105347087809,0.6087800861181365
A1V6P1ZE6Q8YEW_M_Fan_Regular_HS_Desk_Primary_fid29.wav,1,0.6522435545921326,0.4350244402885437,0.21721911430358887,3.2542405128479004,3.4793826353933905,2.5681895047414196,2.4628970440247167,3.8863096237182617,3.5088065442629373,4.0212207419142745,3.2018519139139405,0.6320691108703613,0.02942390886954671,1.4530312371728549,0.7389548698892239
A1V6P1ZE6Q8YEW_M_Kitchen_Regular_HS_Desk_Neighbor_fid28.wav,1,0.6303980946540833,0.422431617975235,0.20796647667884827,3.3689515590667725,3.323720547134899,2.9100933045431057,2.51013152973091,3.6563777923583984,3.4485388665631787,3.7042453805851006,2.993385775256766,0.287426233291626,0.1248183194282797,0.7941520760419949,0.4832542455258557
A1V6P1ZE6Q8YEW_M_NoNoise_Regular_HS_Desk_Neighbor_fid1.wav,1,0.6662644147872925,0.3774546980857849,0.28880971670150757,3.5503005981445312,3.3515256297148337,2.838377538998517,2.408677486587743,3.9138152599334717,3.1813231473510175,3.7368406892837314,2.754815331362341,0.36351466178894043,-0.1702024823638162,0.8984631502852145,0.34613784477459797
A1V6P1ZE6Q8YEW_M_NoNoise_Regular_HS_Desk_Neighbor_fid110.wav,1,0.6748095154762268,0.38025733828544617,0.29455217719078064,3.5434794425964355,3.5101749055220637,2.8441043714942174,2.5881534785356872,3.8363189697265625,3.410081982669063,3.546106078136712,2.898018251368017,0.29283952713012695,-0.10009292285300075,0.7020017066424948,0.3098647728323298
A1V6P1ZE6Q8YEW_M_NoNoise_Regular_HS_Desk_Neighbor_fid208.wav,1,0.6852888464927673,0.3459271490573883,0.33936169743537903,3.5930163860321045,3.4134284372253916,2.6719473573848984,2.440922723901156,4.0507941246032715,3.43097692681203,4.0178843751837725,3.1029248826246043,0.457777738571167,0.01754848958663846,1.345937017798874,0.6620021587234484
A1V6P1ZE6Q8YEW_M_NoNoise_Regular_HS_Desk_Neighbor_fid67.wav,1,0.6324648857116699,0.36347946524620056,0.26898542046546936,3.7458839416503906,3.5100796385810495,2.9366245661670067,2.610405465552969,4.062090873718262,3.3995868660980038,3.9494289948385157,3.0599650795047095,0.3162069320678711,-0.11049277248304579,1.012804428671509,0.4495596139517404
A3A1PGYMYW0TPR_M_Fan_Regular_HS_Desk_Primary_fid22.wav,0,0.3511559069156647,0.657981812953949,0.3068259060382843,2.514716625213623,3.382914527264356,1.6448694977691314,1.9552677456601921,2.6805944442749023,3.182241022849878,2.6213418717813917,2.2939171734796004,0.1658778190612793,-0.2006735044144783,0.9764723740122603,0.3386494278194083
A3JYE8HBZWYVXG_F_Car_Regular_HS_Desk_Primary_fid9.wav,1,0.45170867443084717,0.15229825675487518,0.2994104027748108,2.6199820041656494,1.8281915586648967,1.3340699378537968,1.2423996664666255,2.7792625427246094,3.071246984686526,3.0756656727422818,2.451281236677777,0.15928053855895996,1.2430554260216293,1.741595734888485,1.2088815702111517
A3KAF6CU2BYVLG_M_Breathing_Regular_HS_Desk_Neighbor_fid24.wav,1,0.5477795004844666,0.3320986330509186,0.21568086743354797,3.0230906009674072,3.032381037853277,2.1255315123503102,1.9720562866439024,3.4547483921051025,3.3427340559454475,3.6810841716204044,2.910054423756955,0.4316577911376953,0.31035301809217053,1.5555526592700941,0.9379981371130526
A3KAF6CU2BYVLG_M_Door_Regular_HS_Desk_Neighbor_fid25.wav,1,0.564418375492096,0.15193209052085876,0.4124862849712372,2.8101930618286133,3.070174785146752,1.5839426188986985,1.7394234301239966,3.2496118545532227,3.4017636933036117,2.5258023431462586,2.34620126050049,0.4394187927246094,0.33158890815685993,0.9418597242475601,0.6067778303764932
A3KAF6CU2BYVLG_M_Eating_Regular_HS_Desk_Neighbor_fid43.wav,1,0.4625585377216339,0.24811168015003204,0.21444685757160187,3.2876944541931152,3.5048804974452494,3.0366659045761,2.6829278893152417,3.5428876876831055,3.5428588689363165,3.352044589331428,2.876103093103065,0.25519323348999023,0.03797837149106709,0.31537868475532793,0.19317520378782316
A3KAF6CU2BYVLG_M_Kitchen_Regular_HS_Desk_Neighbor_fid29.wav,1,0.57768714427948,0.21255582571029663,0.36513131856918335,2.6555979251861572,1.1978197496983698,1.136374275729271,1.1074270212533284,3.180310010910034,3.0228290098407817,2.825026516826308,2.2502525332972168,0.524712085723877,1.825009260142412,1.6886522410970368,1.1428255120438884
A3KAF6CU2BYVLG_M_Kitchen_Regular_HS_Desk_Primary_fid1.wav,1,0.5126939415931702,0.20738264918327332,0.30531129240989685,2.673419952392578,1.7277887416042383,1.511608277750852,1.388913415842585,3.48926043510437,3.0478539192861342,3.245012456158823,2.4704296647487323,0.815840482711792,1.320065177681896,1.7334041784079712,1.0815162489061472
A3KAF6CU2BYVLG_M_MouseClicks_Regular_HS_Desk_Neighbor_fid13.wav,1,0.5817298293113708,0.3251588046550751,0.2565710246562958,3.2035653591156006,3.4524117440794235,3.233758794400891,2.7247587590002786,3.532762289047241,3.3728039913312062,3.6025625645080708,2.888403857018947,0.3291969299316406,-0.0796077527482173,0.3688037701071796,0.16364509801866856
A3KAF6CU2BYVLG_M_NoNoise_Regular_HS_Desk_Neighbor_fid11.wav,1,0.588314950466156,0.26874321699142456,0.31957173347473145,3.158128023147583,3.418906462526701,2.748532826457655,2.49822062140334,3.458291530609131,3.295783271009175,3.8515753770834644,2.9245184732295306,0.30016350746154785,-0.12312319151752638,1.1030425506258092,0.42629785182619084
A593NTVU7Y8PE_M_Fan_Regular_HS_Desk_Primary_fid1.wav,1,0.6588925719261169,0.4167095422744751,0.24218302965164185,2.7562642097473145,3.3923589096671978,1.9197182103853307,2.0158233205549223,2.9111528396606445,3.2060668716654956,3.656769716215269,2.768124757268109,0.15488862991333008,-0.18629203800170213,1.7370515058299383,0.7523014367131866
A593NTVU7Y8PE_M_Typing_Regular_HS_Desk_Primary_fid5.wav,1,0.6189265847206116,0.35743021965026855,0.261496365070343,3.3329310417175293,3.6063332352484547,2.419497239471966,2.4507897872305646,3.0867059230804443,3.282343013405558,3.871679766559523,2.894232945946375,-0.24622511863708496,-0.3239902218428967,1.4521825270875568,0.4434431587158105
A593NTVU7Y8PE_M_Water_Regular_HS_Desk_Primary_fid19.wav,1,0.6992332935333252,0.3488582968711853,0.3503749966621399,2.5621635913848877,3.4562295812796404,1.9500502022331314,2.1466615670939224,3.070561408996582,3.10269772739184,3.5645577306926626,2.640797201090628,0.5083978176116943,-0.3535318538878003,1.6145075284595312,0.4941356339967058
A6KU5WJ2CIHFN_M_Clatter_Regular_HS_Desk_Primary_fid7.wav,1,0.7119035720825195,0.4869420826435089,0.22496148943901062,3.3794102668762207,3.636219032314323,2.9273103186233462,2.749635655887312,3.7811176776885986,3.5552261537102714,3.9291810260081865,3.211592639363582,0.40170741081237793,-0.08099287860405147,1.0018707073848403,0.46195698347627
A72LC42LU78IP_M_Baby_Emotional_HS_Desk_Primary_fid253.wav,1,0.34359535574913025,0.12921209633350372,0.21438325941562653,2.838887929916382,3.1594819071563744,2.21942456320712,2.217746072334611,3.4285662174224854,3.0080467415823904,3.5569770582689166,2.6314282832003077,0.5896782875061035,-0.15143516557398407,1.3375524950617965,0.41368221086569656
A8B4AE3QMECV_M_Kitchen_Regular_HS_Desk_Primary_fid6.wav,0,0.38148945569992065,0.5996320247650146,0.218142569065094,3.2667040824890137,3.572794566453654,3.492999081197074,2.9301958222488556,3.435192108154297,3.3161219912135613,3.8652399487522775,2.85712575026118,0.1684880256652832,-0.25667257524009246,0.37224086755520336,-0.07307007198767534
AU5CNN7GUH9D9_M_NoNoise_Regular_HS_Desk_Neighbor_fid123.wav,1,0.6104771494865417,0.4058041274547577,0.20467302203178406,3.5951104164123535,2.790278797692834,3.039985021856401,2.2291350381194324,3.5514373779296875,2.772829209373515,3.6220652866767864,2.4131841700491834,-0.043673038482666016,-0.017449588319318643,0.5820802648203856,0.18404913192975103
